FID;Shape *;OBJECTID_1;dpa_provin;dpa_despro;cod_zona;dpa_canton;dpa_descan;cod_distri;des_distri;cod_circ;des_circ;cod_postal;Shape_Leng;Shape_Area;Poblacion
806;Poligono;745;11;LOJA;7;1101;LOJA;11D01;LOJA;11D01C10;LOJA;110106;5.761.884.901;155.865.612.968;13683
807;Poligono;746;11;LOJA;7;1101;LOJA;11D01;LOJA;11D01C15;LOJA;110108;22.983.469.816;111.029.127.011;12617
808;Poligono;747;11;LOJA;7;1101;LOJA;11D01;LOJA;11D01C16;LOJA;110110;33.833.174.461;342.986.209.906;13941
809;Poligono;748;11;LOJA;7;1104;CELICA;11D04;CELICA-PINDAL-PUYANGO;11D04C02;CELICA;110401;94.157.387.564;240156575.5;7323
810;Poligono;749;11;LOJA;7;1114;PINDAL;11D04;CELICA-PINDAL-PUYANGO;11D04C07;PINDAL;110403;73.718.591.134;141.456.089.188;5665
811;Poligono;750;11;LOJA;7;1110;PUYANGO;11D04;CELICA-PINDAL-PUYANGO;11D04C04;ALAMOR;110406;109.705.377.044;238.805.028.612;8296
812;Poligono;751;11;LOJA;7;1113;ZAPOTILLO;11D09;ZAPOTILLO;11D09C01;ZAPOTILLO;110901;123.532.447.672;194.787.967.706;4207
813;Poligono;752;11;LOJA;7;1113;ZAPOTILLO;11D09;ZAPOTILLO;11D09C05;LIMONES;110902;82.144.408.662;231.524.453.876;1409
814;Poligono;753;11;LOJA;7;1113;ZAPOTILLO;11D09;ZAPOTILLO;11D09C04;GARZAREAL;110903;93.007.779.334;189.933.422.525;1780
815;Poligono;754;11;LOJA;7;1101;LOJA;11D01;LOJA;11D01C18;LOJA;110113;42.973.757.042;557.298.218.212;8435
816;Poligono;755;11;LOJA;7;1101;LOJA;11D01;LOJA;11D01C03;MALACATOS (VALLADOLID);110116;8.206.293.461;205.949.672.466;7114
817;Poligono;756;11;LOJA;7;1101;LOJA;11D01;LOJA;11D01C02;QUINARA-YANGANA (ARSENIO CASTILLO);110122;104.142.497.713;417.153.082.152;2903
818;Poligono;757;11;LOJA;7;1109;PALTAS;11D03;PALTAS;11D03C01;CATACOCHA;110301;118.673.731.356;441221667.9;12204
819;Poligono;778;11;LOJA;7;1101;LOJA;11D01;LOJA;11D01C13;LOJA;110104;19.430.567.257;755.232.280.244;11623
820;Poligono;779;11;LOJA;7;1110;PUYANGO;11D04;CELICA-PINDAL-PUYANGO;11D04C05;EL LIMO (MARIANA DE JESUS);110405;88.325.964.389;203914895.2;2370
821;Poligono;780;11;LOJA;7;1110;PUYANGO;11D04;CELICA-PINDAL-PUYANGO;11D04C03;CIANO-EL ARENAL-VICENTINO-MERCADILLO;110407;8.422.822.808;194.353.450.171;4847
822;Poligono;781;11;LOJA;7;1114;PINDAL;11D04;CELICA-PINDAL-PUYANGO;11D04C06;CHAQUINAL-12 DE DICIEMBRE (CAB EN ACHIOTES);110404;57.420.474.451;607.670.673.028;2977
823;Poligono;782;11;LOJA;7;1104;CELICA;11D04;CELICA-PINDAL-PUYANGO;11D04C01;POZUL (SAN JUAN DE POZUL)-SABANILLA-TNTE. MAXIMILIANO RODRIGUEZ LOAIZA-CRUZPAMBA (CAB EN CARLOS BUSTAMANTE);110402;123.677.550.327;281.182.694.945;7148
824;Poligono;783;11;LOJA;7;1109;PALTAS;11D03;PALTAS;11D03C04;GUACHANAMA;110304;104.716.066.378;278.526.537.427;2601
825;Poligono;784;11;LOJA;7;1109;PALTAS;11D03;PALTAS;11D03C05;ORIANGA;110305;75.127.021.929;183.675.497.979;1763
826;Poligono;785;11;LOJA;7;1109;PALTAS;11D03;PALTAS;11D03C02;CANGONAMA-YAMANA-SANANTONIO;110302;6.071.611.191;101.747.242.554;3604
827;Poligono;786;11;LOJA;7;1101;LOJA;11D01;LOJA;11D01C11;LOJA;110105;474.675.341;945.046.476.724;11767
828;Poligono;787;11;LOJA;7;1102;CALVAS;11D06;CALVAS-GONZANAMA-QUILANGA;11D06C05;EL LUCERO;110602;41.934.901.327;516.022.077.051;2025
829;Poligono;788;11;LOJA;7;1102;CALVAS;11D06;CALVAS-GONZANAMA-QUILANGA;11D06C04;SANGUILLIN;110603;52.459.369.287;986.579.036.056;1668
830;Poligono;789;11;LOJA;7;1115;QUILANGA;11D06;CALVAS-GONZANAMA-QUILANGA;11D06C09;SAN ANTONIO DE LAS ARADAS (CAB)-QUILANGA-FUNDOCHAMBA;110608;90.580.242.504;236.073.241.807;4337
831;Poligono;790;11;LOJA;7;1112;SOZORANGA;11D07;MACARA-SOZORANGA;11D07C05;TACAMOROS;110704;42.746.871.189;76119044.59;2799
832;Poligono;791;11;LOJA;7;1103;CATAMAYO;11D02;CATAMAYO-CHAGUARPAMBA-OLMEDO;11D02C02;CATAMAYO (LA TOMA);110202;4.226.212.219;711.092.706.736;13314
833;Poligono;792;11;LOJA;7;1103;CATAMAYO;11D02;CATAMAYO-CHAGUARPAMBA-OLMEDO;11D02C04;ZAMBI-GUAYQUICHUMA;110205;73.531.243.761;155578075;963
834;Poligono;793;11;LOJA;7;1103;CATAMAYO;11D02;CATAMAYO-CHAGUARPAMBA-OLMEDO;11D02C03;CATAMAYO (LA TOMA);110201;5.140.241.893;740.487.901.792;10137
835;Poligono;794;11;LOJA;7;1101;LOJA;11D01;LOJA;11D01C04;CHANTACO-TAQUIL (MIGUEL RIOFRIO)-CHIQUIRIBAMABA;110117;77.182.493.302;188.638.930.296;7306
836;Poligono;795;11;LOJA;7;1111;SARAGURO;11D08;SARAGURO;11D08C06;SAN SEBASTIAN DE YULUC-MANU;110806;103.539.632.568;288.265.532.215;3650
837;Poligono;796;11;LOJA;7;1111;SARAGURO;11D08;SARAGURO;11D08C03;SAN PABLO DE TENTA-EL PARAISO DE CELEN;110803;85.346.764.139;218.663.845.465;6433
838;Poligono;797;11;LOJA;7;1111;SARAGURO;11D08;SARAGURO;11D08C01;SAN ANTONIO DE QUMBE (CUMBE)-EL TABLON-URDANETA (PAQUISHAPA);110802;98.764.577.093;292.200.216.863;5829
839;Poligono;798;90;NO DELIMITADA;0;9003;MANGA DEL CURA;00D00;MANGA DEL CURA;00D00C03;MANGA DEL CURA;900003;105.329.104.634;267366917.9;13933
840;Poligono;799;90;NO DELIMITADA;0;9003;MANGA DEL CURA;00D00;MANGA DEL CURA;00D00C04;MANGA DEL CURA;900002;8.970.521.235;215.507.877.824;6825
841;Poligono;800;90;NO DELIMITADA;0;9004;EL PIEDRERO;00D00;EL PIEDRERO;00D00C01;EL PIEDRERO;900001;68.092.587.908;170.184.788.858;6324
842;Poligono;801;24;SANTA ELENA;5;2403;SALINAS;24D02;LA LIBERTAD-SALINAS;24D02C05;SALINAS;240206;21.051.711.611;112.348.500.914;18132
843;Poligono;802;24;SANTA ELENA;5;2403;SALINAS;24D02;LA LIBERTAD-SALINAS;24D02C06;SALINAS;240205;23.792.881.348;141.967.498.446;17054
